//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	137	146	5	5	0	0	2s	100	1	2076
m	138	137	5	5	0	0	2s	100	1	2076
m	137	134	5	5	0	0	2s	100	1	2076
m	128	127	5	5	0	0	2s	100	1	2076
m	124	122	5	5	0	0	2s	100	1	2076
m	124	112	5	5	0	0	2s	100	1	2076
m	119	108	5	5	0	0	2s	100	1	2076
m	129	106	5	5	0	0	2s	100	1	2076
m	125	109	5	5	0	0	2s	100	1	2076
m	106	108	5	5	0	0	2s	100	1	2076
m	102	116	5	5	0	0	2s	100	1	2076
m	114	129	5	5	0	0	2s	100	1	2076
m	110	121	5	5	0	0	2s	100	1	2076
m	95	124	5	5	0	0	2s	100	1	2076
m	97	124	5	5	0	0	2s	100	1	2076
m	113	120	5	5	0	0	2s	100	1	2076
m	118	118	5	5	0	0	2s	100	1	2076
m	100	125	5	5	0	0	2s	100	1	2076
m	103	133	5	5	0	0	2s	100	1	2076
m	109	133	5	5	0	0	2s	100	1	2076
m	100	145	5	5	0	0	2s	100	1	2076
m	113	143	5	5	0	0	2s	100	1	2076
m	120	145	5	5	0	0	2s	100	1	2076
m	128	137	5	5	0	0	2s	100	1	2076
m	128	133	5	5	0	0	2s	100	1	2076
m	122	130	5	5	0	0	2s	100	1	2076
m	118	124	5	5	0	0	2s	100	1	2076
m	114	121	5	5	0	0	2s	100	1	2076
m	102	125	5	5	0	0	2s	100	1	2076
m	109	124	5	5	0	0	2s	100	1	2076
m	112	109	5	5	0	0	2s	100	1	2076
m	115	112	5	5	0	0	2s	100	1	2076
m	116	114	5	5	0	0	2s	100	1	2076
m	109	114	5	5	0	0	2s	100	1	2076
m	106	113	5	5	0	0	2s	100	1	2076
m	115	104	5	5	0	0	2s	100	1	2076
m	99	101	5	5	0	0	2s	100	1	2076
m	90	110	5	5	0	0	2s	100	1	2076
m	86	113	5	5	0	0	2s	100	1	2076
m	77	127	5	5	0	0	2s	100	1	2076
m	82	134	5	5	0	0	2s	100	1	2076
m	85	142	5	5	0	0	2s	100	1	2076
m	99	150	5	5	0	0	2s	100	1	2076
m	109	155	5	5	0	0	2s	100	1	2076
m	102	158	5	5	0	0	2s	100	1	2076
m	99	162	5	5	0	0	2s	100	1	2076
m	106	163	5	5	0	0	2s	100	1	2076
m	118	162	5	5	0	0	2s	100	1	2076
m	128	160	5	5	0	0	2s	100	1	2076
m	140	158	5	5	0	0	2s	100	1	2076
m	144	157	5	5	0	0	2s	100	1	2076
m	146	147	5	5	0	0	2s	100	1	2076
m	146	144	5	5	0	0	2s	100	1	2076
m	141	133	5	5	0	0	2s	100	1	2076
m	145	135	5	5	0	0	2s	100	1	2076
m	142	140	5	5	0	0	2s	100	1	2076
m	134	119	5	5	0	0	2s	100	1	2076
m	137	124	5	5	0	0	2s	100	1	2076
m	130	129	5	5	0	0	2s	100	1	2076
m	137	126	5	5	0	0	2s	100	1	2076
m	137	116	5	5	0	0	2s	100	1	2076
m	132	106	5	5	0	0	2s	100	1	2076
m	116	134	5	5	0	0	2s	100	1	2092
