

VNUM	LOCALE_NAME
2205	Flame Warrior
2206	Flame King
2207	Dark Flame King
2231	Strong Fight Tiger Slave
2232	Strong Flame Ghost
2233	Strong Fighting Tiger
2234	Strong Flame Ghost
2235	Strong Flame Warrior
2291	Red Dragon
2301	Ghost Tree
2302	Ghost Stump
2303	Dryad
2304	Ghost Willow
2305	Evil Tree
2306	Giant Ghost Tree
2307	Ghost Tree Lord
2311	Red Ghost Tree
2312	Red Ghost Stump
2313	Red Dryad
2314	Red Ghost Willow
2315	Red Evil Tree
2401	Heavens Soldier
2402	Heavens Archer
2403	Heavens Cleric
2404	Heavens Commander
2411	Zin-Heaven Soldier
2412	Zin-Heaven Archer
2413	Zin-Heaven Cleric
2414	Zin-Heaven Commander
2431	Heavens Soldier
2432	Heavens Archer
2433	Heavens Cleric
2434	Heavens Commander
2451	Zin-Heaven Soldier
2452	Zin-Heaven Archer
2453	Zin-Heaven Cleric
2454	Zin-Heaven Commander
2491	Heavens General
2492	Zin-Heaven General
2493	Aqua Dragon
2494	Heavens General
2495	Zin-Heaven General
5001	Pirate Tanaka
5002	Hae-Tae
5003	Monkey
5004	Pirate Tanaka
5101	Weak Ape Soldier
5102	Weak Ape Thrower
5103	Weak Ape Fighter
5104	Weak Ape General
5111	Ape Soldier
5112	Ape Thrower
5113	Ape Fighter
5114	Ape General
5115	Stone Ape
5116	Ape Leader
5121	Strong Ape Soldier
5122	Strong Ape Thrower
5123	Strong Ape Fighter
5124	Strong Ape General
5125	Strong Stone Ape
5126	Strong Gold Ape
5127	Strong Leader Ape
5131	Clever small Ape Soldier
5132	Clever small Ape Thrower
5133	Clever small Ape Fighter
5134	Clever small Ape General
5141	Clever Ape Soldier
5142	Clever Ape Thrower
5143	Clever Ape Fighter
5144	Clever Ape General
5145	Clever Stone Ape
5146	Clever Ape Leader
5151	Evil strong Ape Soldier
5152	Evil strong Ape Thrower
5153	Evil strong Ape Fighter
5154	Evil strong Ape General
5155	Evil strong Stone Ape
5156	Evil strong Gold Ape
5157	Evil strong Ape Leader
5161	Rock Ape
5162	Walking Ape
5163	Ape Lord
7001	Ape Soldier
7002	Ape Rider
7003	Gimu Ape Soldier
7004	Ape Commander
7005	Stone Ape
7006	Gold Ape
7007	Ape General
7008	Tu-Gui Worker
7009	Tu-Gui Soldier Tester
7010	Tu-Gui White Commander
7012	Bi-Ma-Gui-An
7013	Scorpion King
7014	Scorpion Man
7015	Scorpion Archer
7016	Snake Swordfighter
7017	Snake Archer
7018	Desert Outlaw
7019	Tu-Ji Soldier
7020	Hwa-ryung
7021	Tu-Ji Bum
7022	Cham-Ma
7023	Teawha-Mu
7024	Juk-gui
7025	Dung-Juk
7026	Juk-Mok
7027	Hwaryu Juk
7028	Black Juk-Guimok
8001	Metin Of Sorrow
8002	Metin Of Combat
8003	Metin Of Battle
8004	Metin Of Greed
8005	Metin Of Black
8006	Metin Of Darkness
8007	Metin Of Jealousy
8008	Metin Of Soul
8009	Metin Of Shadow
8010	Metin Of Toughness
8011	Metin Of Devil
8012	Metin Of Fall
8013	Metin Of Death
8014	Metin Of Murder
8015	Metin Of Toughness
8016	Metin Of Devil
8017	Metin Of Fall
8018	Metin Of Death
8019	Metin Of Murder
8020	Pandemonia Rock
8021	Asmodia Rock
8022	Elgoria Rock
8023	Emperor Rock
8024	Metin of Wind Devil
8025	Metin of Devil Eyes
8026	Metin of Fighting Dragon
8027	Metin of Lightning Cloud
8101	Metin Of Sorrow
8102	Metin Of Combat
8103	Metin Of Battle
8104	Metin Of Greed
8105	Metin Of Black
8106	Metin Of Darkness
8107	Metin Of Jealousy
8108	Metin Of Soul
8109	Metin Of Shadow
8110	Metin Of Toughness
8111	Metin Of Devil
8112	Metin Of Fall
8113	Metin Of Death
8114	Metin Of Murder
8501	Wild Dog
8502	Wild Boar
8503	Bear
8504	White Tiger
8505	Black Giant Orc
8506	Tree Frog Leader
8507	Desert Outlaw
8508	Esoteric Tormentor
8509	Esoteric Summoner
8510	Flame Warrior
8511	Ice Golem
9001	Weapon Shop Dealer
9002	Armour Shop Dealer
9003	General Store
9004	Event Helper
9005	Storekeeper
9006	Old Lady
9007	Weapon Shop Dealer
9008	Armour Shop Dealer
9009	Fisherman
9010	General Store
9011	Wedding Planner
9012	Teleporter
10001	JayangArea 4002 8995
10002	YounganArea 4503 9050
10003	BokjungArea 1118 2161
10004	JoanArea 876 2131
10005	BakraArea 9064 2214
10006	PyungmoArea 9372 2188
10007	YounganArea 4188 9560
10008	JayangArea 3179 8332
10009	JoanArea 897 1127
10010	BokjungArea 1759 2210
10011	PyungmoArea 9343 3143
10012	BakraArea 8348 2926
10013	DarkTemple 5536 1441
10014	DragonValley 3326 7468
10015	SaharaDesert 3467 6329
10016	SpiderCave 600 4960
10017	DarkTemple 5906 1102
10018	DemonTower 2165 7270
10019	JayangArea 3211 9009
10020	Jungrang 1356 43
10021	BokjungArea 1168 2920
10022	Waryong 2219 93
10023	BakraArea 9098 2948
10024	Imha 2718 130
10025	IceMountain 4993 2984
10026	GhostForest 2887 57
10027	GhostForest 2866 437
10028	RedWoodForest 11199 708
10029	SnakeField 10590 7262
10030	SaharaDesert 3519 6223
10031	SnakeField 10594 7525
10032	GiantWasteland 8283 7635
10033	HeavenLair 10594 7525
10034	HeavenLair_2 10594 7525
10035	SpiderCave 917 5253
10036	SpiderCave_2 7041 4642
10037	JayangArea 3809 8233
10038	ShinSuCastle 3809 8233
10039	BokjungArea 1917 2900
10040	Zin-RohCastle 9239 1836
10041	BakraArea 8316 2154
10042	ChunZoCastle  9772 1850
10043	IceMountain 3819 2969
10044	ShinSuCastle 10189 1484
10045	IceMountain 3819 2969
10046	ShinSuCastle 9774 1501
10047	DragonValley 2699 6752
10048	Zin-RohCastle 9679 1994
10049	DragonValley 2699 6752
10050	Zin-RohCastle 9256 2012
10051	SaharaDesert 3478 6189
10052	ChunZoCastle 9780 1995
10053	SaharaDesert 3478 6189
10054	ChunZoCastle 10190 2002
10055	InfernalFF 6011 6874
10056	IceMountain 4368 2158
10057	DragonValley 3355 7558
10058	DarkTemple 5943 1337
10059	IceMountain 0 10496
10060	DarkTemple 1536 10496
10061	InfernalFF 4608 10496
10062	DragonValley 6144 10496
10063	GhostForest 3031 266
10064	RedWoodForest 11133 534
10065	NGForest 7754 10553
10066	NRWForest 9915 11195
10067	SujinDungeon 7752  4477
10068	JayangArea 4062 8756
10069	HasunArea 8520  4477
10070	BokjungArea 1611 2130
10071	HasunArea 9288  4477
10072	BakraArea 8727 2100
10073	SaharaDesert 3061 6202
10074	HonoboDungeon 1352  6532
10075	SaharaDesert 2879 5407
10076	JoklorDungeon 1352  7300
10077	HeavenLair 9 12078
10078	DragonValley 2842 8106
10079	HeavenLair 1459 13236
10080	HeavenLair 2413 12755
10081	HeavenLair 99 13618
10082	YounganArea 5028 9998
10083	HeavenLair 1360 14972
10084	HeavenLair_2 2414 14289
10085	HeavenLair 99 15154
10086	JoanArea 616 1148
10087	HeavenLair 1360 16508
10088	HeavenLair_2 2414 15825
10089	HeavenLair 99 16690
10090	PyungmoArea 9609 3188
10091	HeavenLair 1360 18044
10092	HeavenLair_2 2414 17361
10501	. 345 361
10502	. 106 547
10503	. 75 368
10504	. 89 746
10505	. 520 352
10506	. 541 45
10507	. 211 109
10508	. 615 49
10509	. 284 705
10510	. 145 310
10511	. 553 285
10512	. 487 274
10513	. 626 291
10514	. 285 569
10515	. 80 303
10516	. 315 238
10517	. 416 272
10518	. 72 498
10519	. 215 495
10520	. 523 415
10521	. 72 498
10522	. 518 480
10523	. 583 379
10524	. 459 558
10601	. 345 361
10602	. 520 352
10603	. 487 274
10604	. 75 368
10605	. 211 109
10606	. 215 495
10607	. 315 238
10608	. 520 352
10609	. 284 705
10610	. 145 310
10611	. 416 272
10612	. 80 303
10613	. 72 498
10614	. 106 547
10615	. 523 415
10616	. 541 45
10617	. 72 121
10618	. 518 480
10619	. 89 746
10620	. 285 569
10621	. 615 49
10622	. 72 498
10623	. 583 379
10624	. 459 558
10625	. 609 553
10626	. 594 338
10701	. 75 368
10702	. 541 45
10703	. 615 49
10704	. 284 705
10705	. 520 352
10706	. 553 285
10707	. 145 310
10708	. 345 361
10709	. 523 415
10710	. 72 498
10711	. 626 291
10712	. 487 274
10713	. 72 498
10714	. 106 547
10715	. 518 480
10716	. 285 569
10717	. 80 303
10718	. 211 109
10719	. 416 272
10720	. 215 495
10721	. 315 238
10722	. 89 746
10723	. 583 379
10724	. 459 558
10725	. 609 553
10726	. 594 338
11000	Guardian
11001	Guardian
11002	Guardian
11003	Guardian
11004	Guardian
11005	Guardian
11100	Guardian
11101	Guardian
11102	Guardian
11103	Guardian
11104	Guardian
11105	Guardian
11106	Guardian
11107	Guardian
11108	Guardian
11109	Guardian
11110	Guardian
11111	Guardian
11112	Guardian
11113	Guardian
11114	Guardian
11115	Guardian
11116	Guardian
11117	Guardian
11505	Gold Frog
11506	Fire Signal
11507	Fire Signal
11508	Fire Signal
11509	Fire Signal
11510	Fire Signal
12000	Campfire
13000	Wooden Gate
13001	Stone Gate
14000	Workshop
14001	Workshop
14002	Workshop
14003	Workshop
14004	Workshop
14005	Workshop
14006	Workshop
14007	Workshop
14008	Workshop
14009	Workshop
14010	Altar
14011	Altar
14012	Altar
14013	Altar
14014	Altar
14015	Altar
14016	Altar
14017	Altar
14018	Altar
14019	Altar
14020	Headquarters
14021	Headquarters
14022	Headquarters
14023	Headquarters
14024	Headquarters
14025	Headquarters
14026	Headquarters
14027	Headquarters
14028	Headquarters
14029	Headquarters
14030	Training Camp
14031	Training Camp
14032	Training Camp
14033	Training Camp
14034	Training Camp
14035	Training Camp
14036	Training Camp
14037	Training Camp
14038	Training Camp
14039	Training Camp
14040	Furnace
14041	Furnace
14042	Furnace
14043	Furnace
14044	Furnace
14045	Furnace
14046	Furnace
14047	Furnace
14048	Furnace
14049	Furnace
20001	Alchemist
20002	Aranyo
20003	Ah-Yu
20004	Beggar
20005	Yonah
20006	Mirine
20007	Storekeeper
20008	Octavio
20009	Old Man
20010	Peddler
20011	Uriel
20012	Yu-Rang
20013	Fisherman
20014	Taurean
20015	Deokbae
20016	Blacksmith
20017	Yu-Hwan
20018	Baek-Go
20019	Yang-Shin
20020	Betrayer Balso
20021	Ariyoung
20022	David
20023	Mr. Soon
20024	Harang
20025	.
20026	Ji-Ryu
20027	Gillian
20028	Mirine Brother
20029	Pony
20030	Horse
20031	Santa Claus
20032	Christmas Tree
20033	Christmas Tree
20034	Christmas Tree
20035	Flag
20036	Flag
20037	Flag
20038	..
20039	.
20040	Land Agent
20041	Shabby Pedestrian
20042	Wandering Peddler
20043	.
20044	Weaponsmith, Stanley
20045	Armoursmith, Stanton
20046	Acc. Designer, Starbuck
20047	Vein Of Diamond Ore
20048	Vein Of Amber Ore
20049	Vein Of Fossil Trunk Ore
20050	Vein Of Copper Ore
20051	Vein Of Silver Ore
20052	Vein Of Gold Ore
20053	Vein Of Jade Ore
20054	Vein Of Ebony Ore
20055	Pile Of Clams
20056	Vein Of White Gold Ore
20057	Vein Of Crystal Ore
20058	Vein Of Amethyst Ore
20059	Vein Of Heav. Tear Ore
20060	Diamond Alchemist
20061	Amber Alchemist
20062	Fossil Wood Alch.
20063	Copper Alchemist
20064	Silver Alchemist
20065	Gold Alchemist
20066	Jade Alchemist
20067	Ebony Alchemist
20068	Pearl Alchemist
20069	White Gold Alch.
20070	Crystal Alchemist
20071	Amethyst Alchemist
20072	Heaven's Tear Alch.
20073	Ancient Seal
20074	Demon Tower Weaponsmith
20075	Demon Tower Armoursmith
20076	Demon Tower Acc.Designer
20077	Altar of Power Guard
20078	Altar of Power Guard
20079	Altar of Power Guard
20080	Training Leader
20081	Stolen Gangway Seal
20082	Master
20083	Jegal-Tunseok
20084	Biologist Chaegirab
20085	Jimjunja
20086	Wonda-Rim
20087	Handu-Up
20088	Chuk-Sal
20089	Pung-Ho
20090	Heuk-Young
20091	Seon-Pyeong
20092	Hwa-Hee
20093	Koe-Pung
20094	Hong-Hae
20095	Seon-Hae
20096	Teleport Stone
20097	Transport Gate
20098	Transport Gate
20099	Transport Gate
20101	White Horse
20102	Brown Horse
20103	Black Horse
20104	White Horse
20105	Brown Horse
20106	Black Horse
20107	White Horse
20108	Brown Horse
20109	Black Horse
20110	Noname
20111	Noname
20112	Noname
20113	Noname
20300	Body-Force Teacher
20301	Mental-Fight Teacher
20302	Blade-Fight Teacher
20303	Archery Teacher
20304	Weaponry Teacher
20305	Black Magic Teacher
20306	Dragon Force Teacher
20307	Healing Force Teacher
20320	Body-Force Teacher
20321	Mental-Fight Teacher
20322	Blade-Fight Teacher
20323	Archery Teacher
20324	Weaponry Teacher
20325	Black Magic Teacher
20326	Dragon Force Teacher
20327	Healing Force Teacher
20340	Body-Force Teacher
20341	Mental-Fight Teacher
20342	Blade-Fight Teacher
20343	Archery Teacher
20344	Weaponry Teacher
20345	Black Magic Teacher
20346	Dragon Force Teacher
20347	Healing Force Teacher
20348	Demon Tower Guard
20349	Stable Boy
20350	Dungeon Guard
20351	Hall Guard
20352	Hasun Stone Memorial
20353	Seul Rong Stone Memorial
20354	City Guard
20355	Captain
20356	Ginseng Collector
20357	Weol Memorial
20358	Nameless Flowers
20359	Old Box with Papers
20360	Wha Memorial
20361	Su Memorial
20362	Mok Memorial
20363	Gum Memorial
20364	Nakajima
20365	To Memorial
20366	Sa-Soe
30000	Privateshop
30001	Privateshop

